,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,25/07/23,2022,0.092,cash
1,27/06/22,2021,0.08,cash
2,28/05/21,2020,0.1,cash
3,21/07/20,2019,0.1,cash
4,26/06/19,2018,0.1,cash
5,25/07/18,2017,0.09,cash
6,07/07/17,2016,0.08,cash
7,25/05/16,2015,0.06,cash
8,16/06/15,2014,0.05,cash
9,06/06/14,2013,0.02,cash
10,20/11/13,2012,0.06,cash
11,14/06/12,2011,0.06,cash
