,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/11/23,2022,0.095,cash
1,25/11/22,2021,0.303,cash
2,08/11/21,2020,0.09,cash
3,20/10/20,2019,0.08,cash
4,15/11/19,2018,0.1,cash
5,02/08/18,2017,0.1,cash
6,02/08/17,2016,0.1,cash
7,28/06/16,2015,0.08,cash
8,21/05/15,2014,0.1,cash
9,28/05/14,2013,0.15,cash
10,13/06/13,2012,0.15,cash
11,28/05/12,2011,0.12,cash
12,01/06/11,2010,0.12,cash
13,14/05/10,2009,0.11,cash
