,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/10/23,2022,0.06,cash
1,25/07/14,2012,0.025,cash
2,28/05/14,2011,0.038,cash
3,06/10/11,2010,0.07,cash
4,17/06/10,2010,0.1,share
