,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/08/23,2022,0.15,cash
1,08/07/20,2019,0.1,cash
2,25/06/19,2018,0.1,cash
3,12/07/17,2016,1.95,cash
4,24/05/16,2015,0.4,cash
5,21/05/15,2014,0.25,cash
6,29/05/14,2013,0.25,cash
7,31/05/13,2012,0.25,cash
