,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,25/07/23,2023,0.181,share
1,22/12/21,2022,0.276,share
2,22/12/21,2020,0.12,cash
3,21/12/20,2019,0.08,cash
4,30/12/19,2018,0.08,cash
5,05/10/18,2017,0.08,cash
6,28/09/17,2016,0.08,cash
7,09/09/16,2015,0.1,cash
8,26/06/15,2014,0.1,cash
9,18/06/14,2013,0.12,cash
10,26/02/13,2012,0.12,cash
11,24/02/12,2011,0.12,cash
12,18/07/11,2011,0.12,share
13,10/03/10,2009,0.12,cash
14,01/12/08,2008,0.12,cash
