,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/11/23,2022,0.3,cash
1,28/07/22,2021,0.25,cash
2,20/07/21,2020,0.25,cash
3,13/07/20,2019,0.25,cash
4,25/07/19,2018,0.15,cash
5,20/07/18,2017,0.15,cash
6,22/08/17,2017,0.15,share
7,17/05/16,2015,0.15,cash
8,29/07/15,2014,0.12,cash
9,30/06/14,2014,0.2,share
