,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/06/23,2022,0.07,cash
1,14/09/22,2021,0.06,cash
2,09/09/21,2020,0.12,cash
3,09/09/20,2019,0.1,cash
4,30/09/19,2019,0.05,cash
