,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/07/23,2023,0.15,share
1,29/05/23,2022,0.1,cash
2,27/09/22,2022,0.25,share
3,26/08/21,2021,0.25,share
4,27/11/20,2020,0.269,share
5,01/10/20,2020,0.15,share
6,20/06/18,2017,0.13,cash
7,30/10/17,2017,0.07,share
8,12/05/16,2015,0.1,cash
