,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/06/23,2023,0.145,share
1,16/06/22,2022,0.127,share
2,23/07/21,2021,0.091,share
3,21/09/20,2020,0.14,share
4,17/12/18,2018,0.088,share
5,31/12/13,2013,0.025,share
6,31/12/10,2010,0.053,share
