,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/11/23,2022,0.035,cash
1,12/10/22,2021,0.041,cash
2,13/10/21,2020,0.06,cash
3,22/09/20,2019,0.06,cash
4,08/08/19,2018,0.025,cash
