,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/07/23,2023,0.18,share
1,23/11/22,2022,0.15,share
2,11/11/21,2021,0.105,share
3,06/05/21,2021,0.1,share
4,04/02/20,2020,0.209,share
5,11/01/18,2018,0.075,share
6,28/12/16,2016,0.075,share
7,06/08/15,2015,0.07,share
8,04/07/14,2013,0.075,cash
9,04/06/12,2011,0.05,cash
10,19/10/11,2011,0.08,cash
11,11/05/11,2010,0.065,cash
12,21/10/10,2010,0.08,cash
13,21/06/10,2009,0.045,cash
14,14/08/09,2009,0.08,cash
