,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/11/23,2022,0.1,cash
1,07/10/21,2021,0.622,share
2,18/06/18,2018,0.302,share
3,10/07/17,2017,0.318,share
4,13/01/17,2017,0.131,share
5,29/01/16,2016,0.146,share
