,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,18/07/23,2022,0.2,cash
1,30/05/22,2021,0.2,cash
2,07/06/21,2020,0.2,cash
3,21/08/20,2019,0.346,cash
4,27/05/19,2018,0.4,cash
5,20/06/18,2017,0.18,cash
6,20/06/18,2018,0.3,share
7,29/05/17,2016,0.446,cash
8,31/12/15,2015,0.18,cash
9,31/12/14,2014,0.135,cash
10,31/12/13,2013,0.12,cash
11,31/12/12,2012,0.12,cash
12,20/06/12,2012,0.12,share
13,30/06/10,2010,0.08,share
