,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/09/23,2022,0.07,cash
1,09/11/22,2021,0.12,cash
2,23/06/21,2020,0.12,cash
3,03/09/20,2019,0.1,cash
4,30/03/20,2019,0.2,cash
5,30/05/19,2018,0.26,cash
6,25/06/18,2017,0.3,cash
7,20/07/17,2016,0.322,cash
8,27/07/16,2016,0.15,share
9,20/06/14,2012,0.058,cash
10,20/06/14,2013,0.121,cash
