index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,MSN,20155,0.032,0.083,-14215,5940,-4580,1359,0.177,0.37,-1745,583,485,48,-0.911,-0.541,,,,,,2389.0
2023-Q2,MSN,18609,0.043,-0.005,-13281,5327,-4335,992,-0.016,0.091,-1786,451,429,105,-0.893,-0.51,,,,,,1939.0
2023-Q1,MSN,18706,0.028,-0.094,-13620,5086,-4176,910,-0.191,-0.341,-1747,581,439,215,-0.865,-0.519,,,,,,1995.0
2022-Q4,MSN,20643,-0.134,0.057,-15089,5554,-4173,1381,-0.445,0.196,-1486,903,804,447,-0.931,-0.177,,,,,,2515.0
2022-Q3,MSN,19523,-0.173,0.095,-14099,5424,-4269,1155,-0.373,0.145,-1126,909,841,543,-0.527,-0.446,,,,,,2223.0
2022-Q2,MSN,17834,-0.16,-0.02,-12867,4967,-3958,1009,-0.206,-0.102,-1074,1261,1215,981,0.24,-0.385,,,,,,2136.0
2022-Q1,MSN,18189,-0.089,-0.237,-13100,5089,-3965,1124,0.645,-0.548,-1161,2074,1895,1596,7.517,-0.752,,,,,,2201.0
2021-Q4,MSN,23828,0.103,0.009,-16951,6877,-4390,2487,1.148,0.35,-1138,7997,7119,6437,23.269,4.61,,,,,,3605.0
2021-Q3,MSN,23605,0.168,0.112,-17509,6096,-4254,1843,1.826,0.45,-1157,1863,1586,1147,0.348,0.45,,,,,,2993.0
2021-Q2,MSN,21219,0.194,0.062,-16372,4847,-3577,1271,,0.86,-1180,1142,1053,791,3.05,3.223,,,,,,2411.0
2021-Q1,MSN,19977,0.133,-0.075,-15663,4314,-3631,683,11.791,-0.41,-1194,487,343,187,,-0.294,,,,,,1906.0
2020-Q4,MSN,21600,0.968,0.069,-16385,5215,-4057,1158,-0.258,0.776,-1138,973,584,265,-0.817,-0.689,,,,,,3299.0
2020-Q3,MSN,20214,1.254,0.138,-15396,4818,-4166,652,-0.272,,-1091,1100,973,852,-0.618,3.359,,,,,,984.0
2020-Q2,MSN,17766,0.921,0.007,-13872,3895,-4076,-182,,,-863,311,54,195,-0.808,,,,,,,867.0
2020-Q1,MSN,17638,1.161,0.607,-13676,3962,-3908,53,-0.954,-0.966,-678,-60,-216,-78,,,,,,,,1116.0
2019-Q4,MSN,10976,-0.05,0.224,-7596,3379,-1818,1561,0.04,0.742,-469,2021,1748,1448,0.273,-0.35,,,,,,2244.0
2019-Q3,MSN,8968,-0.022,-0.031,-6536,2432,-1536,896,-0.354,-0.269,-492,2667,2425,2228,1.978,1.192,,,,,,1583.0
2019-Q2,MSN,9250,0.007,0.134,-6583,2667,-1442,1226,-0.064,0.056,-451,1275,1192,1016,-0.541,0.174,,,,,,1923.0
2019-Q1,MSN,8160,-0.014,-0.294,-5697,2463,-1303,1160,-0.142,-0.227,-454,1141,1000,865,0.06,-0.239,,,,,,1841.0
2018-Q4,MSN,11558,0.137,0.26,-8019,3539,-2037,1501,-0.047,0.082,-539,1439,1285,1138,-0.398,0.521,,,,,,2201.0
2018-Q3,MSN,9171,-0.028,-0.001,-6398,2774,-1386,1388,0.123,0.06,-757,1097,918,748,-0.013,-0.662,,,,,,2050.0
