index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,VIC,47948,0.668,0.014,-36208,11740,-7004,4736,53.224,0.057,-5504,4475,567,-669,,,,,,,,9392.0
2023-Q2,VIC,47295,2.534,0.214,-36645,10651,-6172,4479,,,-3195,3636,400,1824,-0.462,0.711,,,,,,8654.0
2023-Q1,VIC,38963,1.137,-0.054,-34528,4435,-5794,-1359,,,-3331,4264,589,1066,-0.565,-0.316,,,,,,2101.0
2022-Q4,VIC,41168,0.195,0.432,-28363,12804,-8853,3951,,44.237,-2954,3955,410,1559,,0.647,,,,,,8094.0
2022-Q3,VIC,28742,-0.045,1.147,-22984,5758,-5671,87,-0.981,,-3037,5252,506,947,,-0.721,,,,,,6413.0
2022-Q2,VIC,13384,-0.643,-0.266,-18103,-4719,-4745,-9464,,,-3689,1559,553,3392,1.34,0.383,,,,,,-3959.0
2022-Q1,VIC,18229,-0.217,-0.471,-18024,205,-6324,-6119,,,-1372,1928,512,2454,0.172,,,,,,,-839.0
2021-Q4,VIC,34458,-0.038,0.144,-26218,8240,-11535,-3295,,,-2561,-6369,-9249,-5964,,,,,,,,1497.0
2021-Q3,VIC,30112,-0.162,-0.196,-18413,11698,-7049,4649,1.365,0.76,-2687,3315,257,-351,,,,,,,,8239.0
2021-Q2,VIC,37442,0.603,0.607,-26986,10456,-7815,2641,,,-2624,3614,602,1450,-0.291,-0.308,,,,,,6735.0
2021-Q1,VIC,23294,0.516,-0.35,-20009,3285,-4829,-1544,,,-2706,2786,868,2094,3.776,0.899,,,,,,1387.0
2020-Q4,VIC,35821,-0.062,-0.003,-30241,5580,-9778,-4198,,,-2725,4231,1551,1103,-0.761,-0.284,,,,,,-1362.0
2020-Q3,VIC,35914,0.138,0.537,-29613,6301,-4335,1966,-0.558,,-3004,3609,1436,1540,2.095,-0.247,,,,,,4798.0
2020-Q2,VIC,23359,-0.404,0.52,-19945,3414,-3758,-344,,,-3073,2694,896,2046,0.502,3.666,,,,,,1630.0
2020-Q1,VIC,15368,-0.296,-0.597,-13383,1986,-3881,-1895,,,-2618,3428,505,438,-0.578,-0.905,,,,,,635.0
2019-Q4,VIC,38176,0.011,0.209,-29316,8860,-8935,-75,,,-2088,6255,3590,4607,0.904,8.259,,,,,,3045.0
2019-Q3,VIC,31571,0.346,-0.195,-20291,11280,-6828,4452,1.922,-0.297,-2215,2544,712,498,-0.189,-0.635,,,,,,6513.0
2019-Q2,VIC,39220,0.216,0.797,-26443,12777,-6441,6336,0.402,,-1437,4912,2391,1362,6.811,0.312,,,,,,8456.0
2019-Q1,VIC,21823,-0.233,-0.422,-17044,4779,-4809,-30,,,-1400,1928,1010,1038,0.129,-0.571,,,,,,1447.0
2018-Q4,VIC,37746,0.137,0.609,-30048,7698,-5303,2395,-0.484,0.572,-847,5477,3283,2420,0.131,2.943,,,,,,3710.0
2018-Q3,VIC,23456,0.068,-0.272,-16902,6554,-5031,1524,-0.369,-0.663,-1055,2632,1539,614,0.56,2.519,,,,,,2677.0
2018-Q2,VIC,32241,0.608,0.133,-24148,8093,-3574,4519,0.595,0.418,-1044,3554,736,174,-0.79,-0.81,,,,,,5722.0
2018-Q1,VIC,28451,0.879,-0.143,-21664,6786,-3599,3187,0.952,-0.313,-994,2654,1032,919,0.038,-0.57,,,,,,4299.0
2017-Q4,VIC,33189,0.389,0.51,-24024,9165,-4527,4638,1.8,0.92,-554,3988,2676,2139,,4.437,,,,,,5519.0
