index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,VNM,15637,-0.028,0.029,-9082,6555,-3815,2740,0.019,0.087,-80,3076,2533,2492,0.084,0.133,,,,,,3232.0
2023-Q2,VNM,15195,0.018,0.092,-9045,6150,-3630,2520,0.057,0.219,-96,2728,2229,2199,0.056,0.184,,,,,,3036.0
2023-Q1,VNM,13918,0.003,-0.076,-8520,5398,-3331,2067,-0.211,0.003,-82,2312,1906,1857,-0.18,-0.007,,,,,,2596.0
2022-Q4,VNM,15069,-0.047,-0.063,-9223,5846,-3784,2062,-0.154,-0.233,-53,2295,1869,1869,-0.149,-0.187,,,,,,2580.0
2022-Q3,VNM,16079,-0.007,0.077,-9729,6350,-3662,2688,-0.171,0.128,-50,2860,2323,2298,-0.214,0.103,,,,,,3208.0
2022-Q2,VNM,14930,-0.05,0.076,-8854,6077,-3693,2384,-0.273,-0.09,-37,2576,2102,2083,-0.265,-0.081,,,,,,2903.0
2022-Q1,VNM,13878,0.052,-0.123,-8253,5625,-3005,2620,-0.065,0.075,-26,2764,2283,2266,-0.121,0.032,,,,,,3157.0
2021-Q4,VNM,15819,0.097,-0.023,-9094,6725,-4288,2438,0.136,-0.248,-23,2688,2213,2196,0.005,-0.249,,,,,,2972.0
2021-Q3,VNM,16194,0.041,0.03,-9250,6944,-3702,3242,-0.08,-0.011,-24,3587,2961,2926,-0.049,0.032,,,,,,3781.0
2021-Q2,VNM,15716,0.014,0.191,-8861,6854,-3575,3279,-0.03,0.17,-28,3494,2862,2835,-0.077,0.1,,,,,,3827.0
2021-Q1,VNM,13190,-0.068,-0.086,-7435,5755,-2953,2802,-0.128,0.305,-13,3154,2597,2576,-0.068,0.179,,,,,,3301.0
2020-Q4,VNM,14425,0.013,-0.073,-7767,6658,-4512,2147,-0.14,-0.391,-26,2672,2236,2185,-0.007,-0.29,,,,,,2692.0
2020-Q3,VNM,15563,0.089,0.004,-8296,7267,-3743,3523,0.132,0.042,-38,3777,3138,3077,0.144,0.002,,,,,,4075.0
2020-Q2,VNM,15495,0.061,0.095,-8357,7138,-3757,3381,0.004,0.052,-38,3711,3085,3072,0.06,0.111,,,,,,3937.0
