Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,25769.19921875,26236.30078125,25522.0,26208.80078125,26208.80078125,7471282
2018-01-03,26373.599609375,26648.400390625,25989.0,26153.80078125,26153.80078125,8787360
2018-01-04,26263.69921875,26593.400390625,26153.80078125,26483.5,26483.5,8445309
2018-01-05,26428.599609375,26620.900390625,26181.30078125,26373.599609375,26373.599609375,6662019
2018-01-08,26208.80078125,27197.80078125,26098.900390625,27197.80078125,27197.80078125,6739005
2018-01-09,27362.599609375,29065.900390625,27307.69921875,29065.900390625,29065.900390625,10377967
2018-01-10,29395.599609375,29670.30078125,27802.19921875,28406.599609375,28406.599609375,11342203
2018-01-11,28296.69921875,28516.5,27692.30078125,28406.599609375,28406.599609375,9617844
2018-01-12,28571.400390625,29065.900390625,28131.900390625,28626.400390625,28626.400390625,9816060
2018-01-16,29835.19921875,30769.19921875,29450.5,30769.19921875,30769.19921875,7878397
2018-01-17,30439.599609375,30879.099609375,29450.5,29450.5,29450.5,9152015
2018-01-18,29340.69921875,30769.19921875,29011.0,30769.19921875,30769.19921875,10087077
2018-01-19,30769.19921875,32912.1015625,30549.5,32802.19921875,32802.19921875,13164223
2018-01-22,32802.19921875,32802.19921875,32802.19921875,32802.19921875,32802.19921875,0
2018-01-23,32802.19921875,32802.19921875,32802.19921875,32802.19921875,32802.19921875,0
2018-01-24,32802.19921875,32802.19921875,32802.19921875,32802.19921875,32802.19921875,0
2018-01-25,35659.30078125,35714.30078125,33516.5,33791.19921875,33791.19921875,25067096
2018-01-26,34065.8984375,35439.6015625,33516.5,35109.8984375,35109.8984375,9097015
2018-01-29,35439.6015625,35714.30078125,33791.19921875,33791.19921875,33791.19921875,9282236
2018-01-30,33241.80078125,33791.19921875,32142.900390625,33681.30078125,33681.30078125,18730766
2018-01-31,33681.30078125,35054.8984375,33516.5,34230.80078125,34230.80078125,10085821
2018-02-01,34230.80078125,34615.3984375,33241.80078125,33516.5,33516.5,5119823
2018-02-02,33516.5,33736.30078125,32802.19921875,33571.3984375,33571.3984375,6684951
2018-02-05,32912.1015625,33186.80078125,31318.69921875,31318.69921875,31318.69921875,13317340
2018-02-06,29175.80078125,32637.400390625,29175.80078125,31868.099609375,31868.099609375,27251406
2018-02-07,33241.80078125,33791.19921875,32472.5,32692.30078125,32692.30078125,10341349
2018-02-08,32692.30078125,33406.6015625,32307.69921875,32802.19921875,32802.19921875,8432879
2018-02-09,31208.80078125,32637.400390625,31208.80078125,32033.0,32033.0,16432488
2018-02-12,32033.0,32802.19921875,31813.19921875,32307.69921875,32307.69921875,11969939
2018-02-13,32417.599609375,33571.3984375,32417.599609375,33296.69921875,33296.69921875,9612948
2018-02-14,33296.69921875,33296.69921875,33296.69921875,33296.69921875,33296.69921875,0
2018-02-15,33296.69921875,33296.69921875,33296.69921875,33296.69921875,33296.69921875,0
2018-02-16,33296.69921875,33296.69921875,33296.69921875,33296.69921875,33296.69921875,0
2018-02-20,33296.69921875,33296.69921875,33296.69921875,33296.69921875,33296.69921875,0
2018-02-21,33791.19921875,33956.0,32802.19921875,32967.0,32967.0,15979090
2018-02-22,32692.30078125,32747.30078125,32252.69921875,32362.599609375,32362.599609375,8970598
2018-02-23,32417.599609375,34065.8984375,32307.69921875,33846.19921875,33846.19921875,19466246
2018-02-26,34560.3984375,35494.5,34175.80078125,35384.6015625,35384.6015625,15945948
2018-02-27,35659.30078125,35659.30078125,34835.19921875,35219.80078125,35219.80078125,14160382
2018-02-28,35219.80078125,35219.80078125,35219.80078125,35219.80078125,35219.80078125,0
2018-03-01,36208.80078125,37252.69921875,35714.30078125,36648.3984375,36648.3984375,11859575
2018-03-02,35769.19921875,36648.3984375,35549.3984375,36428.6015625,36428.6015625,14098084
2018-03-05,36373.6015625,36428.6015625,33901.1015625,33901.1015625,33901.1015625,34512132
