,ticker,shareHolder,shareOwnPercent
0,VRE,Công ty CP Kinh Doanh Thương Mại Sado,0.405
1,VRE,Tập đoàn Vingroup - Công ty CP,0.1837
2,VRE,Khác,0.0931
